truckId,truckName,businessPhone,normalizedPhone,status,confidence,matchedSourceUrls,conflictingPhones,checkedSourceCount,sourceErrorCount,notes
seed-us-curated-100-bangkok99-food-truck-13001-lake-city-way-ne-seattle-washington-98125,Bangkok99 Food Truck,(206) 369-2211,2063692211,verified_on_current_source,high,https://www.restaurantji.com/wa/seattle/bangkok-food-truck-/ | https://www.restaurantji.com/cache/business_page/wa/seattle/bangkok-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
QPUCbdV7zZuXZQwsK8VU,BeeSmoke Shack,,,missing_phone_source_candidates,review,,(301) 262-6200 | (240) 544-5700 | (301) 262-5013,2,0,"No businessPhone is stored, but linked source pages exposed possible phone candidates for manual review."
eNfTzWRYbN3BxZk7hKeV,Big Back Burgers,(717) 672-6296,7176726296,not_found_on_linked_sources,review,,,3,0,Stored phone is format-valid but was not found on fetched linked source pages.
seed-us-curated-100-big-tex-bbq-food-truck-13100-northlake-blvd-west-palm-beach-florida-33412,Big Tex Bbq Food Truck,(972) 697-8064,9726978064,verified_on_current_source,high,https://www.bigtexbarbecue.com/ | https://www.restaurantji.com/fl/west-palm-beach/big-tex-bbq-food-truck-/ | https://www.restaurantji.com/cache/business_page/fl/west-palm-beach/big-tex-bbq-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-black-s-sliders-food-truck-616-s-500-w-salt-lake-city-utah-84101,BLACK'S SLIDERS FOOD TRUCK,(979) 549-1449,9795491449,verified_on_current_source,high,http://www.blackssliders.com/ | https://www.restaurantji.com/ut/salt-lake-city/blacks-sliders-food-truck-/ | https://www.restaurantji.com/cache/business_page/ut/salt-lake-city/blacks-sliders-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
AzGp8IHhKsh4EJlfINzP,Blanca's Snow Cones - Shaved Ice,(240) 401-6263,2404016263,not_found_on_linked_sources,review,,,2,0,Stored phone is format-valid but was not found on fetched linked source pages.
seed-dmv-prod-bootheel-barbecue-and-southern-catering-southernfoodtruck-com-arlington-virginia,Bootheel Barbecue & Southern Catering / SouthernFoodTruck.com,(703) 618-8003,7036188003,verified_on_current_source,high,https://www.restaurantji.com/va/arlington/bootheel-bbq-and-southern-catering-/,,1,1,Stored phone appears on at least one linked current source page.
seed-dmv-prod-borjas-food-truck-2-ellicott-city-maryland,Borjas food truck #2,(443) 337-1102,4433371102,verified_on_current_source,high,https://www.restaurantji.com/md/ellicott-city/borjas-food-truck-2-/,,2,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-breaking-buns-reed-5523-se-28th-ave-portland-oregon-97202,Breaking Buns- Reed,(503) 728-8207,5037288207,verified_on_current_source,high,https://www.breakingbunspdx.com/ | https://www.restaurantji.com/or/portland/breaking-buns-food-cart-/ | https://www.restaurantji.com/cache/business_page/or/portland/breaking-buns-food-cart-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-photos-3-001-breaking-the-borders-food-truck-elkridge-maryland,Breaking the Borders Food Truck,(410) 903-5360,4109035360,verified_on_current_source,high,https://www.foodtrucksin.com/breaking-borders-food-truck,,1,2,Stored phone appears on at least one linked current source page.
seed-us-curated-100-brite-ice-sno-cones-and-carnival-treats-12900-e-31st-st-tulsa-oklahoma-74134,Brite Ice Sno Cones & Carnival Treats,(918) 954-3743,9189543743,verified_on_current_source,high,https://www.restaurantji.com/ok/tulsa/brite-ice-sno-cones-food-truck-/ | https://www.restaurantji.com/cache/business_page/ok/tulsa/brite-ice-sno-cones-food-truck-/business.json,(405) 331-6543,5,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-bruno-s-foodtruck-llc-1505-nw-1st-ave-fort-lauderdale-florida-33311,BRUNO'S FOODTRUCK LLC,(954) 864-9679,9548649679,verified_on_current_source,high,https://www.brunoseats365.com/ | https://www.restaurantji.com/fl/fort-lauderdale/brunos-catering-foodtruck-llc-/ | https://www.restaurantji.com/cache/business_page/fl/fort-lauderdale/brunos-catering-foodtruck-llc-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-burrito-ranchero-food-truck-2-germantown-maryland,Burrito Ranchero - Food Truck 2,(240) 404-8779,2404048779,verified_on_current_source,high,https://www.restaurantji.com/md/germantown/burrito-ranchero-food-truck-2-/,(628) 783-4136,2,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-caribbean-grill-food-truck-richmond-virginia,Caribbean Grill Food Truck,(804) 814-6194,8048146194,verified_on_current_source,high,https://www.restaurantji.com/va/richmond/caribbean-grill-food-truck-/,,1,1,Stored phone appears on at least one linked current source page.
seed-dmv-prod-char-d-mclean-virginia,CHAR'D,(571) 626-1314,5716261314,verified_on_current_source,high,https://www.restaurantji.com/va/mclean/char-d-/,,3,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-chennai-flavors-food-truck-55-christopher-columbus-dr-jersey-city-new-jersey-07302,Chennai Flavors Food Truck,(201) 668-9685,2016689685,verified_on_current_source,high,https://www.restaurantji.com/nj/jersey-city/chennai-flavors-food-truck-/ | https://www.restaurantji.com/cache/business_page/nj/jersey-city/chennai-flavors-food-truck-/business.json,,6,0,Stored phone appears on at least one linked current source page.
seed-photos-3-001-chesapeake-food-works-camden-bbq-elkridge-maryland,Chesapeake Food Works Camden BBQ,(443) 956-9800,4439569800,source_phone_mismatch,review,,(410) 247-1919,4,0,Linked source pages exposed one or more different phone numbers.
HCTEKuTN2f0kvumM69LJ,Chevere Bites,(443) 358-7652,4433587652,verified_on_current_source,high,https://cheverebites.com/,(443) 988-4368,6,1,Stored phone appears on at least one linked current source page.
seed-dmv-prod-chofita-s-food-truck-manassas-virginia,Chofita’s Food truck,(703) 364-8914,7033648914,verified_on_current_source,high,https://www.restaurantji.com/va/manassas/chofita-s-food-truck-/,,2,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-cilantro-and-tacos-food-truck-2235-old-salisbury-rd-winston-salem-north-carolina-27127,Cilantro & Tacos (Food Truck),(336) 493-1040,3364931040,verified_on_current_source,high,https://www.cilantroandtacos.com/,(336) 293-8360,5,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-comida-latina-rosy-food-truck-charlottesville-virginia,Comida Latina Rosy Food Truck,(434) 806-6970,4348066970,verified_on_current_source,high,https://www.restaurantji.com/va/charlottesville/comida-latina-rosy-food-truck-/,,3,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-comida-mexicana-el-morro-food-truck-2839-california-ave-salt-lake-city-utah-84104,Comida mexicana El Morro Food Truck,(801) 347-3485,8013473485,verified_on_current_source,high,https://www.restaurantji.com/ut/salt-lake-city/tacos-el-morro-food-truck-/ | https://www.restaurantji.com/cache/business_page/ut/salt-lake-city/tacos-el-morro-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-county-line-food-truck-gordonsville-virginia,County Line Food Truck,(540) 466-8536,5404668536,verified_on_current_source,high,https://www.countylinefood.com/ | https://www.restaurantji.com/va/gordonsville/county-line-food-truck-/,,2,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-crave-hot-dogs-and-bbq-food-truck-fredericksburg-virginia,Crave Hot Dogs & BBQ - Food Truck,(540) 742-7283,5407427283,verified_on_current_source,high,https://www.restaurantji.com/va/fredericksburg/crave-hot-dogs-and-bbq-food-truck-/,,3,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-crazy-taco-food-truck-fayetteville-3315-bragg-blvd-fayetteville-north-carolina-28303,Crazy Taco Food Truck Fayetteville,(910) 808-5332,9108085332,verified_on_current_source,high,https://www.restaurantji.com/nc/fayetteville/taco-loco-food-truck-/ | https://www.restaurantji.com/cache/business_page/nc/fayetteville/taco-loco-food-truck-/business.json,,6,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-cr-pes-la-cart-food-truck-8837-willow-st-new-orleans-louisiana-70118,Crêpes à la Cart food truck,(504) 407-1268,5044071268,verified_on_current_source,high,https://www.crepesalacartnola.com/ | https://www.restaurantji.com/la/new-orleans/cr-pes-la-cart-/ | https://www.restaurantji.com/cache/business_page/la/new-orleans/cr-pes-la-cart-/business.json,,4,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-crespo-mexican-food-truck-glen-burnie-maryland,Crespo Mexican Food Truck,(443) 699-8654,4436998654,verified_on_current_source,high,https://www.restaurantji.com/md/glen-burnie/crespo-mexican-food-truck-/,,1,1,Stored phone appears on at least one linked current source page.
seed-us-cuantos-tacos-arbor-food-park-austin-texas,Cuantos Tacos - Arbor Food Park,(512) 905-0533,5129050533,verified_on_current_source,high,https://www.restaurantji.com/tx/austin/cuantos-tacos-/,,5,1,Stored phone appears on at least one linked current source page.
seed-dmv-prod-curry-in-a-hurry-food-truck-richmond-virginia,Curry in a Hurry (Food Truck),(804) 980-0985,8049800985,verified_on_current_source,high,https://www.restaurantji.com/va/richmond/curry-in-a-hurry-food-truck-/,,2,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-curry-in-a-hurry-food-truck-1001-haxall-point-richmond-virginia-23219,Curry in a Hurry (Food Truck),(804) 980-0985,8049800985,verified_on_current_source,high,https://www.restaurantji.com/va/richmond/curry-in-a-hurry-food-truck-/ | https://www.restaurantji.com/cache/business_page/va/richmond/curry-in-a-hurry-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-da-munch-buggy-food-truck-5920-university-pkwy-winston-salem-north-carolina-27105,Da Munch Buggy (Food Truck),(844) 476-8624,8444768624,verified_on_current_source,high,https://damunchbuggy.com/ | https://www.restaurantji.com/nc/winston-salem/da-munch-buggy-food-truck-/ | https://www.restaurantji.com/cache/business_page/nc/winston-salem/da-munch-buggy-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-deddle-s-donuts-food-truck-and-donut-shop-lexington-market-baltimore-maryland,Deddle's Donuts Food Truck and Donut Shop Lexington Market,(443) 738-4844,4437384844,verified_on_current_source,high,https://deddlesdonuts.com/ | https://www.restaurantji.com/md/baltimore/deddles-donuts-food-truck-and-donut-shop-lexington-market-/,,2,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-deddle-s-donuts-food-truck-and-donut-shop-lexington-market-400-w-lexington-st-baltimore-maryland-21201,Deddle's Donuts Food Truck and Donut Shop Lexington Market,(443) 738-4844,4437384844,verified_on_current_source,high,https://deddlesdonuts.com/ | https://www.restaurantji.com/md/baltimore/deddles-donuts-food-truck-and-donut-shop-lexington-market-/ | https://www.restaurantji.com/cache/business_page/md/baltimore/deddles-donuts-food-truck-and-donut-shop-lexington-market-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-delicias-sobre-ruedas-food-truck-ellicott-city-maryland,Delicias Sobre Ruedas - Food Truck,(609) 205-0372,6092050372,source_phone_mismatch,review,,(240) 790-4778,2,0,Linked source pages exposed one or more different phone numbers.
seed-us-curated-100-dino-s-gourmet-food-truck-591-haleakala-hwy-kahului-hawaii-96732,Dino's Gourmet Food Truck,(516) 428-1320,5164281320,verified_on_current_source,high,https://www.restaurantji.com/hi/kahului/dinos-gourmet-food-truck-/ | https://www.restaurantji.com/cache/business_page/hi/kahului/dinos-gourmet-food-truck-/business.json,,6,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-district-small-bites-food-truck-and-catering-dale-city-virginia,District Small Bites Food Truck and Catering,(202) 922-5522,2029225522,verified_on_current_source,high,https://www.restaurantji.com/va/dale-city/district-small-bites-food-truck-and-catering-/,,2,1,Stored phone appears on at least one linked current source page.
seed-photos-3-001-ec-diner-food-truck-elkridge-maryland,EC Diner Food Truck,(410) 750-3300,4107503300,verified_on_current_source,high,https://ecdiner.com/,,3,1,Stored phone appears on at least one linked current source page.
seed-us-curated-100-el-amiguito-food-truck-2-oregon-ave-s-23rd-st-philadelphia-pennsylvania-19147,El amiguito food truck #2,(267) 891-3023,2678913023,verified_on_current_source,high,https://elamiguitotacomobilepa.com/ | https://www.restaurantji.com/pa/philadelphia/el-amiguito-food-truck-2-/ | https://www.restaurantji.com/cache/business_page/pa/philadelphia/el-amiguito-food-truck-2-/business.json,(215) 617-2570,5,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-el-camaleon-food-truck-wheaton-maryland,El Camaleon Food Truck,(240) 706-3237,2407063237,verified_on_current_source,high,https://www.restaurantji.com/md/wheaton/el-camaleon-food-truck-/,(240) 245-2264,2,0,Stored phone appears on at least one linked current source page.
seed-us-el-camion-ballard-truck-seattle-washington,El Camion - Ballard Truck,(206) 446-3218,2064463218,verified_on_current_source,high,https://www.elcamionseattle.com/new-page,(206) 271-4480 | (206) 591-1694,2,1,Stored phone appears on at least one linked current source page.
seed-us-curated-100-el-chato-taco-truck-5300-w-olympic-blvd-los-angeles-california-90036,El Chato Taco Truck,(626) 289-9780,6262899780,verified_on_current_source,high,https://www.restaurantji.com/ca/los-angeles/el-chato-taco-truck-/ | https://www.restaurantji.com/cache/business_page/ca/los-angeles/el-chato-taco-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-us-el-chato-taco-truck-olympic-la-brea-los-angeles-california,El Chato Taco Truck - Olympic & La Brea,(323) 202-6936,3232026936,not_found_on_linked_sources,review,,,2,0,Stored phone is format-valid but was not found on fetched linked source pages.
seed-us-curated-100-el-comal-3100-boeing-way-stockton-california-95206,El Comal,(209) 598-2146,2095982146,verified_on_current_source,high,https://www.restaurantji.com/ca/stockton/el-comal-taco-truck-the-grill-on-wheels-/ | https://www.restaurantji.com/cache/business_page/ca/stockton/el-comal-taco-truck-the-grill-on-wheels-/business.json,,4,1,Stored phone appears on at least one linked current source page.
seed-us-curated-100-el-grillito-food-truck-20-cooper-sq-new-york-new-york-10003,El Grillito Food Truck,(718) 619-2253,7186192253,verified_on_current_source,high,https://www.elgrillito.nyc/ | https://www.restaurantji.com/ny/new-york/el-grillito-food-truck-/ | https://www.restaurantji.com/cache/business_page/ny/new-york/el-grillito-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-el-jalape-o-feliz-2-food-truck-silver-spring-maryland,El Jalapeño Feliz 2 (Food truck),(301) 407-5758,3014075758,source_phone_mismatch,review,,(240) 593-7831,3,0,Linked source pages exposed one or more different phone numbers.
seed-us-curated-100-el-jaripeo-taco-truck-rose-park-1188-1198-600-n-salt-lake-city-utah-84116,El Jaripeo Taco Truck (Rose Park),(801) 205-4190,8012054190,verified_on_current_source,high,https://rosepark.eljaripeo.com/ | https://www.restaurantji.com/ut/salt-lake-city/el-jaripeo-taco-cart-/ | https://www.restaurantji.com/cache/business_page/ut/salt-lake-city/el-jaripeo-taco-cart-/business.json,,4,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-el-paisa-food-truck-jessup-maryland,El Paisa Food Truck,(443) 485-0595,4434850595,verified_on_current_source,high,https://www.restaurantji.com/md/jessup/el-paisa-food-truck-/,,3,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-el-paisa-food-truck-2-laurel-maryland,El Paisa Food Truck 2,(443) 433-9080,4434339080,verified_on_current_source,high,https://www.restaurantji.com/md/ellicott-city/el-paisa-food-truck-2-/,,1,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-el-paisano-food-truck-1725-columbia-ave-lancaster-pennsylvania-17603,El Paisano Food Truck,(717) 490-2896,7174902896,verified_on_current_source,high,https://www.restaurantji.com/pa/lancaster/el-paisano-food-truck-/ | https://www.restaurantji.com/cache/business_page/pa/lancaster/el-paisano-food-truck-/business.json,(857) 210-3995,6,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-el-parian-1-taco-truck-8163-vernor-hwy-detroit-michigan-48209,El Parian 1 taco truck,(313) 676-0260,3136760260,verified_on_current_source,high,https://www.restaurantji.com/mi/detroit/el-parian-1-taco-truck-/ | https://www.restaurantji.com/cache/business_page/mi/detroit/el-parian-1-taco-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-el-pariente-food-truck-st-paul-east-side-1570-white-bear-ave-saint-paul-minnesota-55106,El Pariente Food Truck - St. Paul East Side,(612) 250-6288,6122506288,verified_on_current_source,high,https://www.restaurantji.com/mn/saint-paul/el-pariente-food-truck-/ | https://www.restaurantji.com/cache/business_page/mn/saint-paul/el-pariente-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-el-sabor-latino-by-quick-stop-deli-food-truck-silver-spring-maryland,El Sabor Latino by Quick Stop Deli (Food Truck),(301) 595-3072,3015953072,source_phone_mismatch,review,,(202) 321-9219,2,0,Linked source pages exposed one or more different phone numbers.
seed-dmv-prod-el-sopon-mexican-food-truck-elkridge-maryland,El Sopon Mexican Food Truck,(443) 410-9300,4434109300,verified_on_current_source,high,https://www.restaurantji.com/md/elkridge/el-sopon-mexican-and-salvadoran-food-truck-/,,3,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-el-trompo-xela-tacos-food-truck-2009-e-galbraith-rd-cincinnati-ohio-45237,El Trompo Xela Tacos Food Truck,(954) 825-6363,9548256363,verified_on_current_source,high,https://www.restaurantji.com/oh/cincinnati/el-trompo-xela-tacos-food-truck-/ | https://www.restaurantji.com/cache/business_page/oh/cincinnati/el-trompo-xela-tacos-food-truck-/business.json,,4,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-el-tucan-food-truck-jessup-maryland,El Tucan Food Truck,(443) 447-1151,4434471151,verified_on_current_source,high,https://www.restaurantji.com/md/jessup/el-tucan-food-truck-/,,2,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-emanuel-s-food-truck-llc-bealeton-virginia,Emanuel's food truck LLC,(571) 778-8312,5717788312,verified_on_current_source,high,https://www.restaurantji.com/va/bealeton/emanuel-s-food-truck-llc-/,,1,1,Stored phone appears on at least one linked current source page.
seed-us-curated-100-etham-healthy-foods-food-truck-9060-s-rainbow-blvd-las-vegas-nevada-89139,EthAm Healthy Foods - Food Truck,(702) 688-2180,7026882180,verified_on_current_source,high,https://www.restaurantji.com/nv/las-vegas/etham-healthy-foods-food-truck-/ | https://www.restaurantji.com/cache/business_page/nv/las-vegas/etham-healthy-foods-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-famous-halal-food-food-truck-501-513-w-45th-st-new-york-new-york-10036,Famous Halal Food (Food Truck),(917) 432-9017,9174329017,verified_on_current_source,high,https://www.restaurantji.com/ny/new-york/famous-halal-food-food-truck-/ | https://www.restaurantji.com/cache/business_page/ny/new-york/famous-halal-food-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-fat-boy-food-truck-baltimore-maryland,Fat Boy Food Truck,(929) 233-1677,9292331677,verified_on_current_source,high,https://www.restaurantji.com/md/baltimore/fat-boy-food-truck-/,,2,0,Stored phone appears on at least one linked current source page.
f91qS3fsuD9gmFBWsynP,Fatbellys DMV,,,missing_phone,none,,,1,0,No businessPhone is stored on the live foodTrucks document.
7UvphMEEFVCW128YL4xd,Felix's Hibachi Culver City,(310) 310-9090,3103109090,not_found_on_linked_sources,review,,,4,0,Stored phone is format-valid but was not found on fetched linked source pages.
oql7ThzV20VW2Rw7p4hy,Felix's Hibachi Santa Monica,(424) 436-1038,4244361038,not_found_on_linked_sources,review,,,4,0,Stored phone is format-valid but was not found on fetched linked source pages.
seed-dmv-prod-fire-pit-brazilian-barbecue-food-truck-rockville-maryland,Fire Pit Brazilian Barbecue Food Truck,(301) 789-8709,3017898709,verified_on_current_source,high,https://www.restaurantji.com/md/rockville/fire-pit-brazilian-barbecue-food-truck-/,,3,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-flavor-of-mexico-taco-truck-alexandria-virginia,Flavor of mexico taco truck,(202) 568-4332,2025684332,verified_on_current_source,high,https://www.restaurantji.com/va/alexandria/flavor-of-mexico-taco-truck-/,,3,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-flavor-of-mexico-taco-truck-426-e-monroe-ave-alexandria-virginia-22301,Flavor of mexico taco truck,(202) 568-4332,2025684332,verified_on_current_source,high,https://www.restaurantji.com/va/alexandria/flavor-of-mexico-taco-truck-/ | https://www.restaurantji.com/cache/business_page/va/alexandria/flavor-of-mexico-taco-truck-/business.json,,6,0,Stored phone appears on at least one linked current source page.
seed-dmv-prod-food-truck-el-quetzal-owings-mills-maryland,Food Truck El Quetzal,(443) 508-1158,4435081158,verified_on_current_source,high,https://www.restaurantji.com/md/owings-mills/food-truck-el-quetzal-/,,3,0,Stored phone appears on at least one linked current source page.
FUPRSzwAkLfmBWXPBqc1,Food Truck Express,,,missing_phone,none,,,1,0,No businessPhone is stored on the live foodTrucks document.
seed-us-curated-100-food-truck-paradise-351-long-wharf-dr-new-haven-connecticut-06511,Food Truck Paradise,,,missing_phone_source_candidates,review,,(203) 946-2366,5,0,"No businessPhone is stored, but linked source pages exposed possible phone candidates for manual review."
seed-dmv-prod-food-truck-cacina-ana-latino-food-windsor-mill-maryland,Food Truck: Cacina Ana Latino Food,(781) 217-3621,7812173621,verified_on_current_source,high,https://www.restaurantji.com/md/windsor-mill/food-truck-cacina-ana-latino-food-/,,2,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-fresh-catch-food-truck-1130-sand-island-parkway-honolulu-hawaii-96819,Fresh Catch Food Truck,(808) 842-7653,8088427653,verified_on_current_source,high,https://www.restaurantji.com/hi/honolulu/fresh-catch-food-truck-/ | https://www.restaurantji.com/cache/business_page/hi/honolulu/fresh-catch-food-truck-/business.json,(857) 210-3995,5,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-frida-s-food-truck-627-s-4th-st-minneapolis-minnesota-55415,Frida’s Food Truck,(612) 800-4097,6128004097,verified_on_current_source,high,https://www.restaurantji.com/mn/minneapolis/frida-s-food-truck-/ | https://www.restaurantji.com/cache/business_page/mn/minneapolis/frida-s-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
seed-us-curated-100-fuego-picante-catering-21-jefferson-ave-west-hartford-connecticut-06110,FUEGO PICANTE CATERING,(860) 965-1807,8609651807,verified_on_current_source,high,https://www.restaurantji.com/ct/hartford/fuego-picante-food-truck-/ | https://www.restaurantji.com/cache/business_page/ct/hartford/fuego-picante-food-truck-/business.json,,4,1,Stored phone appears on at least one linked current source page.
seed-dmv-prod-g-h-m-halal-food-truck-middle-river-maryland,G.H.M Halal Food Truck,(667) 331-4401,6673314401,verified_on_current_source,high,https://www.restaurantji.com/md/middle-river/g-h-m-halal-food-truck-/,,2,1,Stored phone appears on at least one linked current source page.
seed-us-curated-100-glow-bowl-food-truck-220-ne-30th-st-miami-florida-33137,Glow Bowl Food Truck,(786) 246-0956,7862460956,verified_on_current_source,high,https://www.restaurantji.com/fl/miami/glow-bowl-food-truck-/ | https://www.restaurantji.com/cache/business_page/fl/miami/glow-bowl-food-truck-/business.json,,5,0,Stored phone appears on at least one linked current source page.
