truckId,truckName,reachedOut,contactType,businessPhone,websiteUrl,socialLinks,currentAddress,profileUrl,menuStatus,menuItemCount,menuPhotoCount,firstMenuItems,phoneAuditStatus,phoneAuditConfidence,phoneAuditCandidates,phoneAuditMatchedSourceUrls,phoneAuditCheckedSourceCount,phoneAuditSourceErrorCount,phoneAuditNotes,outreachStatus,notes
x1r43UqrviaUtJ86kiVm,Arts Pastramis,false,sms_or_call,(310) 242-1059,,https://www.instagram.com/artspastramis/ | https://www.facebook.com/p/Arts-Pastramis-100066699392522/,"8946 S Sepulveda Blvd, Los Angeles, CA, USA",https://www.ftf-foodtruckfinder.com/truck/?name=Arts+Pastramis&id=x1r43UqrviaUtJ86kiVm,no_menu,0,0,,not_found_on_linked_sources,review,,,2,0,Stored phone is format-valid but was not found on fetched linked source pages.,ready_for_review,
seed-dmv-prod-ayat-halal-food-cart-arlington-virginia,Ayat Halal Food Cart,false,sms_or_call,(703) 624-0212,https://twitter.com/AyatHalalFood,https://twitter.com/AyatHalalFood,"1687 N Lynn St Arlington, Virginia 22209",https://www.ftf-foodtruckfinder.com/truck/?name=Ayat+Halal+Food+Cart&id=seed-dmv-prod-ayat-halal-food-cart-arlington-virginia,itemized_menu,2,1,Vegetarian Samosa Platter; Single Samosa,verified_on_current_source,high,,https://www.restaurantji.com/va/arlington/metro-halal-food-cart-/,2,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-azulindo-food-truck-4645-vernor-w-detroit-michigan-48209,Azulindo food truck,false,sms_or_call,(313) 518-4339,,https://www.facebook.com/p/Azulindo-Food-Truck-61558407825782/ | https://www.instagram.com/azulindotruck/,"4645 Vernor W Detroit, Michigan 48209",https://www.ftf-foodtruckfinder.com/truck/?name=Azulindo+food+truck&id=seed-us-curated-100-azulindo-food-truck-4645-vernor-w-detroit-michigan-48209,menu_photo_only,0,1,,verified_on_current_source,high,,https://www.restaurantji.com/mi/detroit/azulindo-food-truck-/ | https://www.restaurantji.com/cache/business_page/mi/detroit/azulindo-food-truck-/business.json,6,0,Stored phone appears on at least one linked current source page.,ready_for_review,
qV12x5TEwZANLZiPcqD1,B-More Mojo,false,sms_or_call,(410) 596-7307,https://bmoremojo.com/,https://www.instagram.com/bmoresmojo/ | https://www.facebook.com/BmoreMojo/,"11155 Red Run Boulevard, Owings Mills, MD, USA",https://www.ftf-foodtruckfinder.com/truck/?name=B-More+Mojo&id=qV12x5TEwZANLZiPcqD1,itemized_menu,14,3,Steak Burger; Mojo Burger; 'Shroom Burger,verified_on_current_source,high,,https://bmoremojo.com/,3,1,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-b-more-mojo-food-truck-bmore-mojo-kitchen-and-carryout-owings-mills-maryland,B-More Mojo Food Truck/Bmore Mojo Kitchen & Carryout,false,sms_or_call,(410) 567-0356,https://bmoremojo.com/,https://bmoremojo.com/ | https://www.facebook.com/BmoreMojo/ | https://www.instagram.com/bmoresmojo/ | https://x.com/bmoresmojo,"11155 Red Run Blvd Owings Mills, Maryland 21117",https://www.ftf-foodtruckfinder.com/truck/?name=B-More+Mojo+Food+Truck%2FBmore+Mojo+Kitchen+%26+Carryout&id=seed-dmv-prod-b-more-mojo-food-truck-bmore-mojo-kitchen-and-carryout-owings-mills-maryland,menu_photo_only,0,2,,verified_on_current_source,high,(410) 596-7307,https://www.restaurantji.com/md/owings-mills/b-more-mojo-food-truck-bmore-mojo-kitchen-and-carryout-/,2,1,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-bangkok99-food-truck-13001-lake-city-way-ne-seattle-washington-98125,Bangkok99 Food Truck,false,sms_or_call,(206) 369-2211,,https://www.instagram.com/bangkok99_foodtruck/,"13001 Lake City Way NE Seattle, Washington 98125",https://www.ftf-foodtruckfinder.com/truck/?name=Bangkok99+Food+Truck&id=seed-us-curated-100-bangkok99-food-truck-13001-lake-city-way-ne-seattle-washington-98125,menu_photo_only,0,4,,verified_on_current_source,high,,https://www.restaurantji.com/wa/seattle/bangkok-food-truck-/ | https://www.restaurantji.com/cache/business_page/wa/seattle/bangkok-food-truck-/business.json,5,0,Stored phone appears on at least one linked current source page.,ready_for_review,
QPUCbdV7zZuXZQwsK8VU,BeeSmoke Shack,false,social_dm,,,https://www.facebook.com/61579019308739/,"15901 Fred Robinson Way, Bowie, MD 20716., bowie, Md 20716",https://www.ftf-foodtruckfinder.com/truck/?name=BeeSmoke+Shack&id=QPUCbdV7zZuXZQwsK8VU,itemized_menu,7,1,Fried Ribs with Fries; Chicken Tenders with Fries; Brisket Fries,missing_phone_source_candidates,review,(301) 262-6200 | (240) 544-5700 | (301) 262-5013,,2,0,"No businessPhone is stored, but linked source pages exposed possible phone candidates for manual review.",ready_for_review,
eNfTzWRYbN3BxZk7hKeV,Big Back Burgers,false,sms_or_call,(717) 672-6296,https://thebigbackburger.com/,https://www.facebook.com/61577816558399/ | https://www.instagram.com/bigbackburgers2025/,"October Glory Trail Ephrata, PA",https://www.ftf-foodtruckfinder.com/truck/?name=Big+Back+Burgers&id=eNfTzWRYbN3BxZk7hKeV,menu_photo_only,0,3,,not_found_on_linked_sources,review,,,3,0,Stored phone is format-valid but was not found on fetched linked source pages.,ready_for_review,
seed-us-curated-100-big-tex-bbq-food-truck-13100-northlake-blvd-west-palm-beach-florida-33412,Big Tex Bbq Food Truck,false,sms_or_call,(972) 697-8064,https://www.bigtexbarbecue.com/,https://www.bigtexbarbecue.com/,"13100 Northlake Blvd West Palm Beach, Florida 33412",https://www.ftf-foodtruckfinder.com/truck/?name=Big+Tex+Bbq+Food+Truck&id=seed-us-curated-100-big-tex-bbq-food-truck-13100-northlake-blvd-west-palm-beach-florida-33412,menu_photo_only,0,4,,verified_on_current_source,high,,https://www.bigtexbarbecue.com/ | https://www.restaurantji.com/fl/west-palm-beach/big-tex-bbq-food-truck-/ | https://www.restaurantji.com/cache/business_page/fl/west-palm-beach/big-tex-bbq-food-truck-/business.json,5,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-black-s-sliders-food-truck-616-s-500-w-salt-lake-city-utah-84101,BLACK'S SLIDERS FOOD TRUCK,false,sms_or_call,(979) 549-1449,http://www.blackssliders.com/,http://www.blackssliders.com/ | https://www.facebook.com/Blackssliders/ | https://www.instagram.com/blackssliders/,"616 S 500 W Salt Lake City, Utah 84101",https://www.ftf-foodtruckfinder.com/truck/?name=BLACK%27S+SLIDERS+FOOD+TRUCK&id=seed-us-curated-100-black-s-sliders-food-truck-616-s-500-w-salt-lake-city-utah-84101,menu_photo_only,0,4,,verified_on_current_source,high,,http://www.blackssliders.com/ | https://www.restaurantji.com/ut/salt-lake-city/blacks-sliders-food-truck-/ | https://www.restaurantji.com/cache/business_page/ut/salt-lake-city/blacks-sliders-food-truck-/business.json,5,0,Stored phone appears on at least one linked current source page.,ready_for_review,
AzGp8IHhKsh4EJlfINzP,Blanca's Snow Cones - Shaved Ice,false,sms_or_call,(240) 401-6263,https://www.facebook.com/domingoelososediento/?ref=aymt_homepage_panel,https://www.facebook.com/domingoelososediento/,"4821 Columbia Pike, Arlington, VA 22204",https://www.ftf-foodtruckfinder.com/truck/?name=Blanca%27s+Snow+Cones+-+Shaved+Ice&id=AzGp8IHhKsh4EJlfINzP,no_menu,0,0,,not_found_on_linked_sources,review,,,2,0,Stored phone is format-valid but was not found on fetched linked source pages.,ready_for_review,
seed-dmv-prod-bootheel-barbecue-and-southern-catering-southernfoodtruck-com-arlington-virginia,Bootheel Barbecue & Southern Catering / SouthernFoodTruck.com,false,sms_or_call,(703) 618-8003,https://www.bootheelcatering.com/,https://www.bootheelcatering.com/ | https://www.instagram.com/bootheelcatering/,"5533 16th St N Arlington, Virginia 22205",https://www.ftf-foodtruckfinder.com/truck/?name=Bootheel+Barbecue+%26+Southern+Catering+%2F+SouthernFoodTruck.com&id=seed-dmv-prod-bootheel-barbecue-and-southern-catering-southernfoodtruck-com-arlington-virginia,itemized_menu,1,2,Baby BBQ Ribs (4-1/2 sq),verified_on_current_source,high,,https://www.restaurantji.com/va/arlington/bootheel-bbq-and-southern-catering-/,1,1,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-borjas-food-truck-2-ellicott-city-maryland,Borjas food truck #2,false,sms_or_call,(443) 337-1102,,https://www.facebook.com/61558166125892/,"8411 Baltimore National Pike Ellicott City, Maryland 21043",https://www.ftf-foodtruckfinder.com/truck/?name=Borjas+food+truck+%232&id=seed-dmv-prod-borjas-food-truck-2-ellicott-city-maryland,menu_photo_only,0,1,,verified_on_current_source,high,,https://www.restaurantji.com/md/ellicott-city/borjas-food-truck-2-/,2,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-breaking-buns-reed-5523-se-28th-ave-portland-oregon-97202,Breaking Buns- Reed,false,sms_or_call,(503) 728-8207,https://breakingbunspdx.com/,https://breakingbunspdx.com/ | https://www.instagram.com/breaking_buns/,"5523 SE 28th Ave Portland, Oregon 97202",https://www.ftf-foodtruckfinder.com/truck/?name=Breaking+Buns-+Reed&id=seed-us-curated-100-breaking-buns-reed-5523-se-28th-ave-portland-oregon-97202,menu_photo_only,0,4,,verified_on_current_source,high,,https://www.breakingbunspdx.com/ | https://www.restaurantji.com/or/portland/breaking-buns-food-cart-/ | https://www.restaurantji.com/cache/business_page/or/portland/breaking-buns-food-cart-/business.json,5,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-photos-3-001-breaking-the-borders-food-truck-elkridge-maryland,Breaking the Borders Food Truck,false,sms_or_call,(410) 903-5360,,https://www.facebook.com/search/top?q=breaking%20the%20borders%20food%20truck | https://www.facebook.com/breakingthebordersmd/,"5700 Rowanberry Dr Elkridge, Maryland 21075",https://www.ftf-foodtruckfinder.com/truck/?name=Breaking+the+Borders+Food+Truck&id=seed-photos-3-001-breaking-the-borders-food-truck-elkridge-maryland,itemized_menu,12,1,Quesa Birria Tacos; Birria Tacos; Birria Quesadilla,verified_on_current_source,high,,https://www.foodtrucksin.com/breaking-borders-food-truck,1,2,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-brite-ice-sno-cones-and-carnival-treats-12900-e-31st-st-tulsa-oklahoma-74134,Brite Ice Sno Cones & Carnival Treats,false,sms_or_call,(918) 954-3743,https://britecarnivaltreatstulsa.com/,https://britecarnivaltreatstulsa.com/ | https://www.facebook.com/BriteSnoCones/ | https://www.instagram.com/britecarnivaltreats/,"12900 E 31st St Tulsa, Oklahoma 74134",https://www.ftf-foodtruckfinder.com/truck/?name=Brite+Ice+Sno+Cones+%26+Carnival+Treats&id=seed-us-curated-100-brite-ice-sno-cones-and-carnival-treats-12900-e-31st-st-tulsa-oklahoma-74134,menu_photo_only,0,4,,verified_on_current_source,high,(405) 331-6543,https://www.restaurantji.com/ok/tulsa/brite-ice-sno-cones-food-truck-/ | https://www.restaurantji.com/cache/business_page/ok/tulsa/brite-ice-sno-cones-food-truck-/business.json,5,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-bruno-s-foodtruck-llc-1505-nw-1st-ave-fort-lauderdale-florida-33311,BRUNO'S FOODTRUCK LLC,false,sms_or_call,(954) 864-9679,http://www.brunoseats365.com/,http://www.brunoseats365.com/ | https://www.facebook.com/www.brunosfoodtruckllc/ | https://www.instagram.com/brunosfoodtruck/ | https://www.tiktok.com/@brunosfoodtruck/ | https://www.youtube.com/@brunosfoodtruck5764,"1505 NW 1st Ave Fort Lauderdale, Florida 33311",https://www.ftf-foodtruckfinder.com/truck/?name=BRUNO%27S+FOODTRUCK+LLC&id=seed-us-curated-100-bruno-s-foodtruck-llc-1505-nw-1st-ave-fort-lauderdale-florida-33311,menu_photo_only,0,4,,verified_on_current_source,high,,https://www.brunoseats365.com/ | https://www.restaurantji.com/fl/fort-lauderdale/brunos-catering-foodtruck-llc-/ | https://www.restaurantji.com/cache/business_page/fl/fort-lauderdale/brunos-catering-foodtruck-llc-/business.json,5,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-burrito-ranchero-food-truck-2-germantown-maryland,Burrito Ranchero - Food Truck 2,false,sms_or_call,(240) 404-8779,,https://burritoranchero.com/,"23731 Ridge Rd Germantown, Maryland 20876",https://www.ftf-foodtruckfinder.com/truck/?name=Burrito+Ranchero+-+Food+Truck+2&id=seed-dmv-prod-burrito-ranchero-food-truck-2-germantown-maryland,itemized_menu,6,2,Taco; Burrito Ranchero; Torta,verified_on_current_source,high,(628) 783-4136,https://www.restaurantji.com/md/germantown/burrito-ranchero-food-truck-2-/,2,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-caribbean-grill-food-truck-richmond-virginia,Caribbean Grill Food Truck,false,sms_or_call,(804) 814-6194,https://caribbeangrillandjuices.com/menu/,https://caribbeangrillandjuices.com/menu/ | https://www.instagram.com/caribbeangrillrva/,"1009 E Clay St Richmond, Virginia 23219",https://www.ftf-foodtruckfinder.com/truck/?name=Caribbean+Grill+Food+Truck&id=seed-dmv-prod-caribbean-grill-food-truck-richmond-virginia,itemized_menu,9,2,BBQ Jerk Chicken Platter (Spicy); Oxtail Platter (Wed. & Fri. Only); Classic Jerk Chicken Pita,verified_on_current_source,high,,https://www.restaurantji.com/va/richmond/caribbean-grill-food-truck-/,1,1,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-char-d-mclean-virginia,CHAR'D,false,sms_or_call,(571) 626-1314,https://linktr.ee/chardeats,https://www.instagram.com/chardeats/ | https://linktr.ee/chardeats,"2001 International Dr 3rd Floor, McLean, VA 22102",https://www.ftf-foodtruckfinder.com/truck/?name=CHAR%27D&id=seed-dmv-prod-char-d-mclean-virginia,itemized_menu,10,1,Original CHAR'D Single; Original CHAR'D Double; Hot CHAR'D Single,verified_on_current_source,high,,https://www.restaurantji.com/va/mclean/char-d-/,3,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-chennai-flavors-food-truck-55-christopher-columbus-dr-jersey-city-new-jersey-07302,Chennai Flavors Food Truck,false,sms_or_call,(201) 668-9685,,https://www.facebook.com/p/Chennai-Flavors-Food-Truck-61565857131048/ | https://www.instagram.com/chennaiflavorsfoodtruck/,"55 Christopher Columbus Dr Jersey City, New Jersey 07302",https://www.ftf-foodtruckfinder.com/truck/?name=Chennai+Flavors+Food+Truck&id=seed-us-curated-100-chennai-flavors-food-truck-55-christopher-columbus-dr-jersey-city-new-jersey-07302,menu_photo_only,0,4,,verified_on_current_source,high,,https://www.restaurantji.com/nj/jersey-city/chennai-flavors-food-truck-/ | https://www.restaurantji.com/cache/business_page/nj/jersey-city/chennai-flavors-food-truck-/business.json,6,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-photos-3-001-chesapeake-food-works-camden-bbq-elkridge-maryland,Chesapeake Food Works Camden BBQ,false,sms_or_call,(443) 956-9800,https://chesapeakefoodworks.com/,https://www.facebook.com/chesapeakefoodworks | https://www.instagram.com/chesapeakefoodworks/ | https://www.facebook.com/chesapeakecrabcakes/ | https://www.instagram.com/chesapeakecrabcakes/,"5700 Rowanberry Dr Elkridge, Maryland 21075",https://www.ftf-foodtruckfinder.com/truck/?name=Chesapeake+Food+Works+Camden+BBQ&id=seed-photos-3-001-chesapeake-food-works-camden-bbq-elkridge-maryland,itemized_menu,12,1,Jumbo Lump Crab Cake; Double Jumbo Lump Crab Cake; Seafood Platter,source_phone_mismatch,review,(410) 247-1919,,4,0,Linked source pages exposed one or more different phone numbers.,ready_for_review,
HCTEKuTN2f0kvumM69LJ,Chevere Bites,false,sms_or_call,(443) 358-7652,https://cheverebites.com/,https://www.instagram.com/chevere.bites | https://www.tiktok.com/@chevere.bites | https://www.yelp.com/biz/chevere-bites-owings-mills,"9923 Reisterstown Road, Owings Mills, MD, USA",https://www.ftf-foodtruckfinder.com/truck/?name=Chevere+Bites&id=HCTEKuTN2f0kvumM69LJ,itemized_menu,13,1,Tequeños; Ham & Cheese Empanada; Cheese Empanada,verified_on_current_source,high,(443) 988-4368,https://cheverebites.com/,6,1,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-chofita-s-food-truck-manassas-virginia,Chofita’s Food truck,false,sms_or_call,(703) 364-8914,,https://chofita.getbento.com/ | https://www.instagram.com/chofita__foodtruk/,"20110 Manassas, Virginia 20110",https://www.ftf-foodtruckfinder.com/truck/?name=Chofita%E2%80%99s+Food+truck&id=seed-dmv-prod-chofita-s-food-truck-manassas-virginia,itemized_menu,10,2,Asada Taco; Pastor Taco; Pollo Taco,verified_on_current_source,high,,https://www.restaurantji.com/va/manassas/chofita-s-food-truck-/,2,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-cilantro-and-tacos-food-truck-2235-old-salisbury-rd-winston-salem-north-carolina-27127,Cilantro & Tacos (Food Truck),false,sms_or_call,(336) 493-1040,http://www.cilantroandtacos.com/,http://www.cilantroandtacos.com/ | https://www.facebook.com/CilantroandTacos/ | https://www.instagram.com/cilantroandtacos/,"2235 Old Salisbury Rd Winston-Salem, North Carolina 27127",https://www.ftf-foodtruckfinder.com/truck/?name=Cilantro+%26+Tacos+%28Food+Truck%29&id=seed-us-curated-100-cilantro-and-tacos-food-truck-2235-old-salisbury-rd-winston-salem-north-carolina-27127,menu_photo_only,0,4,,verified_on_current_source,high,(336) 293-8360,https://www.cilantroandtacos.com/,5,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-comida-latina-rosy-food-truck-charlottesville-virginia,Comida Latina Rosy Food Truck,false,sms_or_call,(434) 806-6970,,https://www.facebook.com/p/Comida-Latina-Rosy-100094481078629/ | https://www.instagram.com/comidalatinarosy/,"1378 Long St Charlottesville, Virginia 22902",https://www.ftf-foodtruckfinder.com/truck/?name=Comida+Latina+Rosy+Food+Truck&id=seed-dmv-prod-comida-latina-rosy-food-truck-charlottesville-virginia,menu_photo_only,0,2,,verified_on_current_source,high,,https://www.restaurantji.com/va/charlottesville/comida-latina-rosy-food-truck-/,3,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-us-curated-100-comida-mexicana-el-morro-food-truck-2839-california-ave-salt-lake-city-utah-84104,Comida mexicana El Morro Food Truck,false,sms_or_call,(801) 347-3485,,https://www.facebook.com/profile.php?id=100040158652816,"2839 California Ave Salt Lake City, Utah 84104",https://www.ftf-foodtruckfinder.com/truck/?name=Comida+mexicana+El+Morro+Food+Truck&id=seed-us-curated-100-comida-mexicana-el-morro-food-truck-2839-california-ave-salt-lake-city-utah-84104,menu_photo_only,0,4,,verified_on_current_source,high,,https://www.restaurantji.com/ut/salt-lake-city/tacos-el-morro-food-truck-/ | https://www.restaurantji.com/cache/business_page/ut/salt-lake-city/tacos-el-morro-food-truck-/business.json,5,0,Stored phone appears on at least one linked current source page.,ready_for_review,
seed-dmv-prod-county-line-food-truck-gordonsville-virginia,County Line Food Truck,false,sms_or_call,(540) 466-8536,http://countylinefood.com/,http://countylinefood.com/ | https://www.facebook.com/CountyLineFood/,"10271 Gordon Ave Gordonsville, Virginia 22942",https://www.ftf-foodtruckfinder.com/truck/?name=County+Line+Food+Truck&id=seed-dmv-prod-county-line-food-truck-gordonsville-virginia,itemized_menu,11,2,Patch Burger; Hot & Messy Burger; Brunch Burger,verified_on_current_source,high,,https://www.countylinefood.com/ | https://www.restaurantji.com/va/gordonsville/county-line-food-truck-/,2,0,Stored phone appears on at least one linked current source page.,ready_for_review,
